WL; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL
1470.000;-10.05;-62.05;-61.82;-61.39;-23.31
1470.010;-10.72;-61.37;-61.15;-60.72;-23.32
1470.020;-10.95;-61.15;-60.92;-60.49;-23.31
1470.030;-11.78;-60.31;-60.09;-59.66;-23.33
1470.040;-11.74;-60.35;-60.12;-59.70;-23.34
1470.050;-12.04;-60.05;-59.83;-59.40;-23.30
1470.060;-12.65;-59.44;-59.21;-58.79;-23.30
1470.070;-12.60;-59.49;-59.27;-58.84;-23.25
1470.080;-13.13;-58.96;-58.74;-58.31;-23.24
1470.090;-14.24;-57.85;-57.63;-57.20;-23.29
1470.100;-14.12;-57.97;-57.75;-57.32;-23.30
1470.110;-15.22;-56.87;-56.65;-56.22;-23.31
1470.120;-15.50;-56.59;-56.37;-55.94;-23.27
1470.130;-15.00;-57.09;-56.86;-56.44;-23.28
1470.140;-14.48;-57.61;-57.38;-56.96;-23.28
1470.150;-14.93;-57.17;-56.94;-56.51;-23.36
1470.160;-15.38;-56.71;-56.49;-56.06;-23.34
1470.170;-15.39;-56.70;-56.48;-56.05;-23.28
1470.180;-14.78;-57.31;-57.08;-56.66;-23.32
1470.190;-14.04;-58.05;-57.83;-57.40;-23.34
1470.200;-13.74;-58.35;-58.13;-57.70;-23.37
1470.210;-13.25;-58.84;-58.61;-58.19;-23.38
1470.220;-12.80;-59.29;-59.06;-58.64;-23.39
1470.230;-12.72;-59.37;-59.15;-58.72;-23.41
1470.240;-12.37;-59.72;-59.50;-59.07;-23.41
1470.250;-11.96;-60.13;-59.90;-59.48;-23.46
1470.260;-11.86;-60.23;-60.00;-59.58;-23.48
1470.270;-11.51;-60.58;-60.35;-59.93;-23.52
1470.280;-11.15;-60.95;-60.72;-60.30;-23.51
1470.290;-10.85;-61.24;-61.02;-60.60;-23.49
1470.300;-10.24;-61.85;-61.63;-61.20;-23.52
1470.310;-10.01;-62.08;-61.86;-61.43;-23.53
1470.320;-9.80;-62.29;-62.07;-61.65;-23.55
1470.330;-9.56;-62.53;-62.31;-61.88;-23.54
1470.340;-9.31;-62.78;-62.56;-62.13;-23.58
1470.350;-9.03;-63.06;-62.84;-62.41;-23.53
1470.360;-8.81;-63.28;-63.06;-62.64;-23.55
1470.370;-8.59;-63.50;-63.28;-62.86;-23.57
1470.380;-8.33;-63.76;-63.54;-63.11;-23.60
